
2023/03/28 (13:12:52) | ===> btop++ v.1.2.13
2023/03/28 (13:12:53) | ERROR: Stall in Runner thread, restarting!

2023/04/17 (16:42:00) | ===> btop++ v.1.2.13
2023/04/17 (16:42:00) | ERROR: Stall in Runner thread, restarting!

2023/04/19 (11:20:03) | ===> btop++ v.1.2.13
2023/04/19 (11:20:04) | ERROR: Stall in Runner thread, restarting!

2023/08/07 (17:31:53) | ===> btop++ v.1.2.13
2023/08/07 (17:31:59) | ERROR: Stall in Runner thread, restarting!

2023/09/22 (11:36:21) | ===> btop++ v.1.2.13
2023/09/22 (11:36:21) | ERROR: Stall in Runner thread, restarting!
2023/09/22 (12:05:26) | ERROR: Stall in Runner thread, restarting!
2023/09/22 (14:57:54) | ERROR: Stall in Runner thread, restarting!

2023/10/23 (21:11:36) | ===> btop++ v.1.2.13
2023/10/23 (21:11:38) | ERROR: Stall in Runner thread, restarting!

2023/11/10 (15:41:11) | ===> btop++ v.1.2.13
2023/11/10 (15:41:12) | ERROR: Stall in Runner thread, restarting!
2023/11/10 (19:19:43) | WARNING: Failed to join _runner thread on exit!

2024/03/12 (09:59:18) | ===> btop++ v.1.3.2
2024/03/12 (09:59:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (12:01:02) | ===> btop++ v.1.3.2
2024/04/08 (12:01:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/08 (12:01:50) | ===> btop++ v.1.3.2
2024/04/08 (12:01:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/08 (00:05:24) | ===> btop++ v.1.3.2
2024/06/08 (00:05:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/29 (21:24:44) | ===> btop++ v.1.3.2
2024/06/29 (21:24:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
